SQUAD,ZONA,BASE_USUARIOS,TARGET_ACUM,ORDENES_TOTALES,ORDENES_INORGANICAS,PCT_CONVERSION,PCT_VS_TARGET,SPEND_LOCAL,CPO_INORGANICO,CPO_TOTAL
RESURECTION,Corrientes,19115,246,210,105,1.10,85.4,293,3,1
RESURECTION,DEL_VISO,9422,56,46,11,0.49,82.1,38,3,1
RESURECTION,DEVOTO,134539,1765,1921,645,1.43,108.8,1998,3,1
RESURECTION,ESCOBAR,2065,11,14,5,0.68,127.3,18,4,1
RESURECTION,EZEIZA,5221,143,198,57,3.79,138.5,166,3,1
RESURECTION,Flores,120200,1158,1156,444,0.96,99.8,1518,3,1
RESURECTION,General Paz,32048,311,364,127,1.14,117,407,3,1
RESURECTION,Gonnet,8933,183,213,55,2.38,116.4,174,3,1
RESURECTION,Hurlingham,10430,181,170,24,1.63,93.9,77,3,0
RESURECTION,JUJUY,5339,40,31,5,0.58,77.5,19,4,1
RESURECTION,LA_RIOJA,8329,62,74,4,0.89,119.4,13,3,0
RESURECTION,LUJAN,1657,11,8,0,0.48,72.7,0,,0
RESURECTION,La Reja,29,1,17,5,58.62,1700,15,3,1
RESURECTION,Lanus,53880,776,780,286,1.45,100.5,838,3,1
RESURECTION,Liniers - Lugano,58164,787,827,302,1.42,105.1,959,3,1
RESURECTION,Lomas de Zamora - Banfield,64635,784,846,326,1.31,107.9,951,3,1
RESURECTION,Los Hornos,825,11,34,18,4.12,309.1,55,3,2
RESURECTION,MAR_DEL_PLATA_CENTRO,70421,787,924,392,1.31,117.4,1262,3,1
RESURECTION,MAR_DEL_PLATA_NORTE,38193,235,214,101,0.56,91.1,303,3,1
RESURECTION,MAR_DEL_PLATA_SUR,20482,378,352,124,1.72,93.1,357,3,1
RESURECTION,MASCHWITZ,871,3,1,0,0.11,33.3,0,,0
RESURECTION,Malvinas los hornos,87773,1066,1148,415,1.31,107.7,1421,3,1
RESURECTION,Manantiales,1520,131,148,11,9.74,113,35,3,0
RESURECTION,Mendoza Centro,37736,88,113,8,0.30,128.4,29,4,0
RESURECTION,Mendoza Godoy Cruz,6065,64,88,5,1.45,137.5,16,3,0
RESURECTION,Mendoza Guaymallen,13765,76,96,2,0.70,126.3,6,3,0
RESURECTION,Mendoza Maipu - Chacras,2524,14,15,2,0.59,107.1,6,3,0
RESURECTION,Merlo Moreno,11270,184,182,17,1.61,98.9,56,3,0
RESURECTION,Microcentro,631512,5878,6502,2192,1.03,110.6,7812,4,1
